S.No,Project ID,Project Name,Original Cost,Revised Cost,Expenditure,JUL25
1,705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,108000,108000,78691,53
2,702668,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,63246,47163,0,
3,705237,WESTERN DEDICATED FREIGHT CORRIDOR,51101,124005,124623,96
4,705429,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,38953,38953,24645,65
5,706780,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,33690,33690,2246,16
1,709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY,43367,43367,1789,13
2,701263,RAJASTHAN REFINERY PROJECT,43129,72937,59524,87
3,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,34627,36225,23977,88
4,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,34012,34012,35498,96
5,602182,DIBANG MULTIPURPOSE PROJECT,31876,,3436,16
1,701372,SARDAR SAROVAR PROJECT,20718,33413,31768,93
2,701415,POLAVARAM IRRIGATION PROJECT,10151,55549,24348,83
3,701405,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,8201,14730,4559,87
4,400112,JIGAON IRRIGATION PROJECT,7223,,8501,90
5,701386,GOSIKHURD PROJECT,7196,12770,13533,72
1,706775,BHARATNET,61109,188000,41486,80.52
2,701593,4G SERVICES BY BSNL,28466,19592,8333,92
3,400013,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,26316,30620,9292,72
4,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.",24545,,8333,96
5,701602,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF ANDHRA PRADESH CHHATTISGARH JHARKHAND MAHARASHTRA & ODISHA",3685,1101,,79
1,400188,REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI,32850,0,0,
2,702540,IN-SITU SLUM REDEVELOPMENT PROJECT IN GUJARAT,5477,3036,0,
3,400429,EXHIBITION CUM CONVENTION CENTRE DWARKA [PHASE I],5178,5401,4470,97.4
4,702524,AFFORDABLE HOUSING CONSTRUCTION PROJECT IN CHHATTISGARH,3798,2694,0,
5,701658,KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,2139,328,,14
1,400424,GEVRA OC [70 MTY],11816,,5329,77
2,400185,GOPALJI KANIHA OCP [10 TO 30 MTY],8416,6108,1694,17
3,400147,KUSMUNDA OC EXPANSION [15 TO 50 MTY],7612,,4698,81
4,612838,DIPKA OC,7580,,3091,65
5,400150,RPR MAGADH EXP OCP,7254,,1535,38
