S.No, Sector Name, Project Count, Original Cost (Rs. Crore), Revised Cost (Rs. Crore), Expenditure (Rs. Crore)
1,Railways,254,676816,813264,505345
2,Aviation & Aviation Infrastructure,27,23265,23726,5884
3,Urban Public Transport,22,225315,232998,158062
4,Inland Waterways,6,77124,77735,53119
5,Shipping,5,4823,4823,1812
1,Oil & Gas,93,353990,385767,186037
2,Transmission & Distribution,61,142977,145116,49396
3,Electricity Generation,36,270930,324546,152918
4,Energy Storage,17,82155,114517,90144
1,Water Resources,45,97037,215274,143186
2,Waste & Water,10,4449,4449,1691
1,Telecommunication,15,151089,273182,71833
1,Education,30,12754,12685,8277
2,Real Estate,13,48889,48889,6979
3,Healthcare,4,4848,5186,2705
4,"Tourism, Hospitality & Wellness",2,5751,6639,4957
1,Coal,120,172035,172950,53892
2,Steel,19,16748,19987,7760
3,Metals & Mining,10,14436,16873,6106
4,Construction,2,902,902,597
