S.No,Sector Name,Project Count,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore)
1,Roads & Highways,1137,1054523,1081116,369902
2,Railways,262,721622,874476,581286
3,Urban Public Transport,27,315168,335924,181939
4,Aviation & Aviation Infrastructure,26,21601,22815,10762
5,Shipping,5,13573,13613,10569
6,Logistics Infrastructure,1,763,763,430
7,Inland Waterways,1,5369,5061,3990
1,Oil & Gas,96,370568,399478,201674
2,Transmission & Distribution,69,208870,214833,69255
3,Electricity Generation,40,340780,396049,159975
4,Energy Storage,16,80623,119394,101617
1,Water Resources,40,117255,220989,160182
2,Waste & Water,27,8620,8720,5132
1,Telecommunication,12,151125,273253,77036
1,Healthcare,34,20124,24551,9947
2,Education,31,16072,15520,8885
3,Real Estate,11,49336,49382,15784
4,"Tourism, Hospitality & Wellness",1,573,1238,615
1,Coal,119,187696,185434,49333
2,Steel,18,17812,21050,10073
3,Metals & Mining,6,9689,13843,7462
4,Construction,2,899,899,260
