S.No,Project ID,Project Name,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore),OCT25
1,617321,GODHANI-KALUMNA CHORD 13.7 KM,"150,000",-,"1,940",11
2,705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,"108,000","108,000","82,968",55
3,702668,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,"63,246",-,"28,779",47
4,705237,WESTERN DEDICATED FREIGHT CORRIDOR,"51,101","124,005","124,623",96
5,705429,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,"38,953","38,953","24,645",65
6,709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY,"43,367","43,367","1,955",16
7,701263,RAJASTHAN REFINERY PROJECT,"43,129","79,459","61,927",89
8,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,"34,627","36,225","26,555",90
9,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,"34,012","34,012","32,184",96
10,602182,DIBANG MULTIPURPOSE PROJECT,"31,876",-,"3,709",16
11,701372,SARDAR SAROVAR PROJECT,"20,718","33,413","31,861",93
12,701415,POLAVARAM IRRIGATION PROJECT,"10,151","55,549","24,838",84
13,701405,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,"8,201","14,730","4,665",87
14,400112,JIGAON IRRIGATION PROJECT,"7,223",-,"8,723",90
15,701386,GOSIKHURD PROJECT,"7,196","12,770","13,765",72
16,706775,BHARATNET,"61,109","188,000","46,432",81
17,701593,4G SERVICES BY BSNL,"28,466","19,592","8,419",96
18,400013,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,"26,316","30,620","9,792",76
19,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.","24,545",-,"8,448",97
20,701602,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA & ODISHA","3,685",-,"1,135",81
21,400188,REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI,"32,850",-,0,0
22,701658,KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,"2,139",-,473,21
23,701167,AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR,"1,828","1,828","1,322",68
24,701657,TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,"1,702",-,117,10
25,701173,AIIMS MAJRA REWARI HARYANA,"1,299",-,349,28
26,400424,GEVRA OC [70 MTY],"11,816",-,"6,687",78
27,400185,GOPALJI KANIHA OCP [10 TO 30 M,"8,416","6,108","1,735",17
28,400150,RPR MAGADH EXP OCP,"7,254",-,"1,601",38
29,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE, SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA COALFIELD- REG.","5,940",-,0,8
30,616253,BLOCK E OCP,"5,851",-,20,3
