S.No,Project ID,Project Name,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore),JUL26
1,705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,"108,000","108,000","90,967",62.16
2,702668,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,"63,246",,"34,698",55.73
3,705237,WESTERN DEDICATED FREIGHT CORRIDOR,"51,101","124,005","124,623",96
4,702635,CONSTRUCTION OF BANGALORE METRO RAIL PROJECT PHASE 2.,"26,405","30,695","29,835",95.8
5,702632,DMRTS PHASE - IV [3 PRIORITY CORRIDORS],"24,949",,"21,421",83.46
6,709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY,"43,367","43,367","6,104",33.5
7,298178,"MEJA THERMAL POWER PROJECT, STAGE-II , (3X800 MW)","38,358",,"1,003",0.02
8,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,"34,627","36,225","28,007",94.3
9,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,"34,012","34,012","33,192",96.9
10,602182,DIBANG MULTIPURPOSE PROJECT,"31,876",,"4,921",17.93
11,701530,KEN-BETWA LINKING DEVELOPMENT PROJECT,"21,030",,"8,531",0
12,701372,SARDAR SAROVAR PROJECT,"20,718","33,413","31,969",93.7
13,701415,POLAVARAM IRRIGATION PROJECT,"10,151","55,549","27,962",86.15
14,701405,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,"8,201","14,730","4,841",87.7
15,701386,GOSIKHURD PROJECT,"7,196","12,770","14,439",72.65
16,706775,BHARATNET,"61,109","12,709","48,810",99.98
17,701593,4G SERVICES BY BSNL,"28,466","19,592","9,165",98.56
18,400013,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,"26,316","15,393","8,723",87.7
19,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.","24,545",,"9,166",98.56
20,547243,BHARATNET PHASE-II,"22,175",,"20,692",93.33
21,400188,REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI,"32,850","32,841","14,370",46.7
22,617883,"REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIIMS, NEW DELHI","4,441",,"44",57
23,701668,DEVELOPMENT OF PALAKKAD NODE UNDER EXTENSION OF CBIC TO KOCHI,"3,805",,"58",5.3
24,617727,ORVAKAL INDUSTRIAL AREA,"2,786",,"356",16.22
25,601812,DEVELOPMENT OF ZAHEERABAD NODE UNDER HYDERABAD NAGPUR INDUSTRIAL CORRIDOR,"2,360",,"43",4.87
26,619032,JAYANT EXPN. [20 TO 38 MTPA],"25,560",,"333",2.1
27,400424,GEVRA OC [70 MTY],"11,816",,"7,825",78.48
28,400185,GOPALJI KANIHA OCP [10 TO 30 M,"8,416","6,108","1,778",35.8
29,400150,RPR MAGADH EXP OCP,"6,964",,"2,300",39.42
30,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE, SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA COALFIELD- REG.","5,940",,"521",34
