S.No,Sector Name,Project Count,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore)
1,CIVIL AVIATION,38,"26,718.18","27,771.19","17,430.52"
2,COAL,113,"188,127.06","192,671.10","66,702.32"
3,DEPARTMENT OF HIGHER EDUCATION,20,"9,680.92","10,152.14","7,219.42"
4,DPIIT,2,"24,857.00","31,457.00","9,939.78"
5,FINANCE,2,577.27,577.27,399.67
6,HEALTH AND FAMILY WELFARE,8,"7,301.27","7,358.40","4,704.48"
7,HOME AFFAIRS,5,"2,025.73","2,949.25","2,466.60"
8,MINES,8,"7,559.78","9,356.73","5,983.20"
9,PETROLEUM,106,"423,588.30","474,888.00","2,38,890.69"
10,POWER,106,"378,959.85","397,275.55","2,29,667.95"
11,RAILWAYS,213,"631,896.84","620,968.20","4,50,664.81"
12,ROAD TRANSPORT AND HIGHWAYS,979,"762,272.76","793,364.28","4,01,122.11"
13,SHIPPING AND PORTS,1,"5,369.18","5,061.15","3,414.95"
14,SOCIAL JUSTICE,1,170.99,170.99,73.80
15,STEEL,20,"16,297.20","20,228.73","7,561.30"
16,TELECOMMUNICATIONS,6,"26,961.69","26,949.89","9,434.73"
17,URBAN DEVELOPMENT,27,"265,881.46","272,720.33","1,98,371.86"
18,WATER RESOURCES,15,"15,428.28","15,429.03","27,431.76"
