S.No,Project ID,Project Name,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore),DEC25
1,705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,"108,000","108,000","85,338",56
2,702668,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,"63,246",-,"30,211",48
3,705237,WESTERN DEDICATED FREIGHT CORRIDOR,"51,101","124,005","124,623",96
4,705429,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,"38,953","38,953","26,841",72
5,706780,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,"33,690","33,690","2,922",20
6,709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY,"43,367","43,367","2,593",18
7,701263,RAJASTHAN REFINERY PROJECT,"43,129","79,459","63,572",90
8,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,"34,627","36,225","27,829",91
9,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,"34,012","34,012","32,374",96
10,602182,DIBANG MULTIPURPOSE PROJECT,"31,876",-,"3,862",16
11,701372,SARDAR SAROVAR PROJECT,"20,718","33,413","31,861",93
12,701415,POLAVARAM IRRIGATION PROJECT,"10,151","55,549","25,834",84
13,701405,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,"8,201","14,730","4,665",87
14,400112,JIGAON IRRIGATION PROJECT,"7,223",-,"9,349",91
15,701386,GOSIKHURD PROJECT,"7,196","12,770","13,898",72
16,706775,BHARATNET,"61,109","188,000","46,432",81
17,701593,4G SERVICES BY BSNL,"28,466","19,592","8,471",97
18,400013,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,"26,316","30,620","9,792",80
19,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.","24,545",-,"8,472",97
20,701602,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA & ODISHA","3,685",-,"1,332",82
21,400188,REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI,"32,850",-,0,0
22,617883,"REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIIMS, NEW DELHI","4,441",-,25,61
23,701658,KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,"2,139",-,568,27
24,701167,AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR,"1,828","2,161","1,492",72
25,701657,TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT,"1,702",-,184,17
26,400424,GEVRA OC [70 MTY],"11,816",-,"6,813",78
27,400185,GOPALJI KANIHA OCP [10 TO 30 M,"8,416","6,108","1,746",17
28,400150,RPR MAGADH EXP OCP,"7,254",-,"1,599",38
29,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE, SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA COALFIELD- REG.","5,940",-,26,19
30,616253,BLOCK E OCP,"5,851",-,20,3
