S.No,Project ID,Project Name,Original Cost (€ crores),Revised Cost (€ crores),Expenditure (€ crores),JAN26 Progress
1,705728,"MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT - 508 KM",108000,108000,86793,57
2,702668,"CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT",63246,30722,48,3
3,705237,"WESTERN DEDICATED FREIGHT CORRIDOR",51101,124005,124623,96
4,705429,"RISHIKESH-KARNAPRAYAG NEW RAIL LINE - 125 KM",38953,38953,27546,72
5,706780,"MUMBAI URBAN TRANSPORT PROJECT (MUTP) PHASE-IIIA",33690,33690,3070,20
6,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY",43367,43367,2704,19
7,701263,"RAJASTHAN REFINERY PROJECT",43129,79459,64516,90
8,701289,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA",34627,36225,26028,92
9,400120,"KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK",34012,34012,32559,96
10,602182,"DIBANG MULTIPURPOSE PROJECT",31876,3933,16,0
11,701372,"SARDAR SAROVAR PROJECT",20718,33413,31861,93
12,701415,"POLAVARAM IRRIGATION PROJECT",10151,55549,25939,84
13,701405,"J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME",8201,14730,4665,87
14,400112,"JIGAON IRRIGATION PROJECT",7223,9391,91,5
15,701386,"GOSIKHURD PROJECT",7196,12770,13966,72
16,706775,"BHARATNET",61109,188000,46432,81
17,701593,"4G SERVICES BY BSNL",28466,19592,8471,97
18,400013,"SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF",26316,30620,9792,82
19,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT",24545,8472,0,97
20,701602,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA & ODISHA",3685,1343,0,83
21,400188,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPR] COLONIES IN DELHI",32850,32841,12339,43
22,617883,"REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIMS, NEW DELHI",4441,256,13,0
23,701658,"KRISHNAPATNAM NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT",2139,626,30,0
24,701167,"AIIMS KASHMIR AT AWANTIPORA JAMMU & KASHMIR",1828,2161,1505,73
25,701657,"TUMAKURU NODE - PHASE 1 - ROADS AND SERVICES DEVELOPMENT",1702,184,18,0
26,619032,"JAYANT EXPN. [20 TO 38 MTPA]",25560,280,24,0
27,400424,"GEVRA OC [70 MTY]",11816,6822,783,0
28,400185,"GOPALI KANHA OC [10 TO 30 M]",8416,6108,1751,31
29,400150,"RPR MAGADH EXP OC",7254,1619,385,0
30,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE, SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA COALFIELD-REG.",5940,302,1,0
