S.No,Project ID,Project Name,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore),JUN26
1,705728,"MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM","108,000","108,000","90,967",60.87
2,702668,"CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT","63,246",,"33,774",53.36
3,705237,"WESTERN DEDICATED FREIGHT CORRIDOR","51,101","124,005","124,623",96
4,705429,"RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM","38,953","38,953","28,828",77.5
5,706780,"MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA","33,690","33,690","3,854",25
6,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY","43,367","43,367","5,596",30.7
7,701289,"CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA","34,627","36,225","27,518",94
8,400120,"KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK","34,012","34,012","33,114",96.8
9,602182,"DIBANG MULTIPURPOSE PROJECT","31,876",,"4,750",17.78
10,604795,"CBR 9 MMTPA PROJECT","31,580","36,354","1,590",10.2
11,701530,"KEN-BETWA LINKING DEVELOPMENT PROJECT","21,030",,"8,531",0
12,701372,"SARDAR SAROVAR PROJECT","20,718","33,413","31,943",93.7
13,701415,"POLAVARAM IRRIGATION PROJECT","10,151","55,549","27,726",86.14
14,701405,"J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME","8,201","14,730","4,841",87.7
15,701386,"GOSIKHURD PROJECT","7,196","12,770","14,386",72.65
16,706775,"BHARATNET","61,109","188,000","48,810",99.98
17,701593,"4G SERVICES BY BSNL","28,466","19,592","9,143",98.4
18,400013,"SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF","26,316","15,393","8,553",85
19,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.","24,545",,"9,143",98.41
20,222253,"AMENDED BHARATNET PROGRAM - UP (EAST)","5,008",,502,0
21,400188,"REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI","32,850","32,841","14,370",46.7
22,617883,"REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIIMS, NEW DELHI","4,441",,44,57
23,701668,"DEVELOPMENT OF PALAKKAD NODE UNDER EXTENSION OF CBIC TO KOCHI","3,805",,0,5.25
24,617727,"ORVAKAL INDUSTRIAL AREA","2,786",,279,12.81
25,601812,"DEVELOPMENT OF ZAHEERABAD NODE UNDER HYDERABAD NAGPUR INDUSTRIAL CORRIDOR","2,360",,43,3.58
26,619032,"JAYANT EXPN. [20 TO 38 MTPA]","25,560",,257,2.02
27,400424,"GEVRA OC [70 MTY]","11,816",,"6,960",78.48
28,400185,"GOPALJI KANIHA OCP [10 TO 30 M","8,416","6,108","1,777",35.69
29,400150,"RPR MAGADH EXP OCP","6,964",,"2,298",39.42
30,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE, SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA COALFIELD- REG.","5,940",,328,31
