S.No,Project ID,Project Name,Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Expenditure (Rs. Crore),MAY26
1,705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,108000,108000,90967,60.87
2,702668,CHENNAI METRO RAIL PHASE-II DEVELOPMENT PROJECT,63246,,33774,53.36
3,705237,WESTERN DEDICATED FREIGHT CORRIDOR,51101,124005,124623,96
4,705429,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,38953,38953,28509,74.5
5,706780,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,33690,33690,3742,25
6,709798,ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY,43367,43367,5116,27.9
7,701263,RAJASTHAN REFINERY PROJECT,43129,79459,69997,92.1
8,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,34627,36225,27014,93.6
9,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,34012,34012,33007,96.6
10,602182,DIBANG MULTIPURPOSE PROJECT,31876,,4714,17.67
11,701530,KEN-BETWA LINKING DEVELOPMENT PROJECT,21030,,8531,0
12,701372,SARDAR SAROVAR PROJECT,20718,33413,31943,93.7
13,701415,POLAVARAM IRRIGATION PROJECT,10151,55549,27062,86.14
14,701405,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,8201,14730,4785,87.7
15,701386,GOSIKHURD PROJECT,7196,12770,14374,72.65
16,706775,BHARATNET,61109,188000,46432,83.3
17,701593,4G SERVICES BY BSNL,28466,19592,8471,98.34
18,400013,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,26316,15393,9792,85
19,709857,"PLANNING, ENGINEERING, SUPPLY, INSTALLATION, TESTING, COMMISSIONING, INTEGRATION & ANNUAL MAINTENANCE OF 4G MOBILE NETWORK AT 1 LAKH SITES ON PAN INDIA BASIS INCLUDING MUMBAI & DELHI LSA ON TURNKEY BASIS UNDER PHASE IX.2 PROJECT.",24545,,8472,98.34
20,701602,"PROVISION OF 4G BASED MOBILE SERVICES IN 7,287 UNCOVERED VILLAGES OF 44 ASPIRATIONAL DISTRICT ACROSS 5 STATES OF ANDHRA PRADESH, CHHATTISGARH, JHARKHAND, MAHARASHTRA & ODISHA",3685,1449,1100,81.2
21,400188,REDEVELOPMENT OF SEVEN GENERAL POOL RESIDENTIAL ACCOMMODATION [GPRA] COLONIES IN DELHI,32850,32841,14370,46.7
22,617883,"REDEVELOPMENT OF RESIDENTIAL COLONIES AT AYUR VIGYAN NAGAR AND WEST ANSARI NAGAR CAMPUSES OF AIIMS, NEW DELHI",4441,,44,57
23,701668,DEVELOPMENT OF PALAKKAD NODE UNDER EXTENSION OF CBIC TO KOCHI,3805,,0,3.5
24,617727,ORVAKAL INDUSTRIAL AREA,2786,,260,10.27
25,601812,DEVELOPMENT OF ZAHEERABAD NODE UNDER HYDERABAD NAGPUR INDUSTRIAL CORRIDOR,2360,,0,2.16
26,619032,JAYANT EXPN. [20 TO 38 MTPA],25560,,187,1.6
27,400424,GEVRA OC [70 MTY],11816,,6922,78.48
28,400185,GOPALJI KANIHA OCP [10 TO 30 M,8416,6108,1775,35.03
29,400150,RPR MAGADH EXP OCP,7254,,1693,39.3
30,617416,"REVISED JHARIA MASTER PLAN FOR DEALING WITH FIRE, SUBSIDENCE & REHABILITATION OF AFFECTED FAMILIES IN JHARIA COALFIELD- REG.",5940,,274,28
